,DATE,Is_Recession,PAYEMS,FEDFUNDS,3MTB_SECONDARYMKT,GS1,GS5,GS10,CPI,DEBT_PUB,SP500,INDPRO,UNRATE,10Y3MTH_SPREAD,FEDFUNDS_ROLMEAN3,INDPRO_ROLMEAN3,UNRATE_ROLMEAN3,PAYEMS_3MTHCHANGE,10Y3MTH_SPREAD_3MTHCHANGE,INDPRO_3MTHCHANGE
213,1983-10-01,0,273.0,0.030000000000001137,-0.35999999999999943,-0.34999999999999964,-0.15000000000000036,-0.11000000000000121,-0.201087398192679,-0.15556999999999732,-2.519999999999982,0.4376000000000033,-0.3999999999999986,0.24999999999999822,0.036666666666668846,0.5982000000000056,-0.1999999999999975,-0.001643857298331275,-0.025538201772900893,-0.00699984585563862
214,1983-11-01,0,355.0,-0.14000000000000057,0.11999999999999922,0.129999999999999,0.13000000000000078,0.15000000000000036,-0.09989479583509508,0.0,2.8499999999999943,0.18549999999999756,-0.3000000000000007,0.030000000000001137,-0.07333333333333591,0.4693333333333385,-0.3333333333333339,0.007397045985656492,-0.09353888792655352,-0.007843007961091386
215,1983-12-01,0,355.0,0.13000000000000078,0.2400000000000002,0.16999999999999993,0.129999999999999,0.14000000000000057,-0.09920557273118662,0.0,-1.4699999999999989,0.2809000000000026,-0.1999999999999993,-0.09999999999999964,0.0066666666666659324,0.3013333333333321,-0.29999999999999893,-0.008599276213378637,-0.09940614898894995,-0.009981247516790415
216,1984-01-01,0,443.0,0.08999999999999986,-0.09999999999999964,-0.20999999999999908,-0.16999999999999993,-0.16000000000000014,0.4934858694676607,0.27893999999999863,-1.5200000000000102,1.0664999999999978,-0.3000000000000007,-0.0600000000000005,0.026666666666667282,0.5109666666666612,-0.2666666666666675,0.001825382241707585,-0.11275211450878297,0.011709217808721695
217,1984-02-01,0,484.0,0.02999999999999936,0.1899999999999995,0.1399999999999988,0.16999999999999993,0.16999999999999993,-0.101622964271123,0.0,-6.349999999999994,0.2342000000000013,-0.20000000000000018,-0.019999999999999574,0.08333333333333215,0.5272000000000006,-0.2333333333333325,0.0013554023357595923,-0.016605860892079827,0.0008138769481611519
218,1984-03-01,0,272.0,0.3200000000000003,0.4299999999999997,0.5500000000000007,0.4800000000000004,0.4800000000000004,-0.295364634445549,0.0,2.1200000000000045,0.27020000000000266,0.0,0.05000000000000071,0.14666666666666828,0.5236333333333292,-0.16666666666666696,-0.0009536330720079089,0.05083274038519536,-0.0003557082648171228
219,1984-04-01,0,363.0,0.379999999999999,0.16999999999999993,0.3100000000000005,0.34999999999999964,0.3100000000000005,0.292016934697844,0.27239999999999753,0.8700000000000045,0.34619999999999607,-0.09999999999999964,0.14000000000000057,0.2433333333333323,0.2835333333333381,-0.10000000000000053,-0.0009253941065046067,0.07197254786901597,-0.013765277557049815
220,1984-05-01,0,306.0,0.030000000000001137,0.14000000000000057,0.7599999999999998,0.8000000000000007,0.7799999999999994,-0.196349803272031,0.0,-9.5,0.2627000000000024,-0.2999999999999998,0.6399999999999988,0.2433333333333323,0.2930333333333337,-0.13333333333333286,-0.001973487357149306,0.24044634066294646,0.00045320523635283827
221,1984-06-01,0,381.0,0.7400000000000002,0.03999999999999915,0.41999999999999993,0.3100000000000005,0.15000000000000036,-0.0008442349074500033,0.0,2.6299999999999955,0.19439999999999458,-0.20000000000000018,0.11000000000000121,0.38333333333333286,0.2677666666666667,-0.20000000000000018,0.0011372535964917496,0.016038961038961297,-0.0014541599316773013
222,1984-07-01,0,310.0,0.16999999999999993,0.25,-0.05000000000000071,-0.21000000000000085,-0.20000000000000107,0.09559266519812798,0.7689900000000023,-2.5200000000000102,0.17570000000000618,0.2999999999999998,-0.45000000000000107,0.31333333333333435,0.21093333333333675,-0.06666666666666643,-0.0006085760879641633,-0.21581632653061278,-0.003165776793681241
223,1984-08-01,0,243.0,0.41000000000000014,0.3500000000000014,-0.20999999999999908,-0.5899999999999999,-0.6399999999999988,-0.0014821443293629999,0.0,16.02000000000001,0.05339999999999634,0.0,-0.9900000000000002,0.4399999999999995,0.14116666666666333,0.033333333333333215,-0.0007040824541186819,-0.4735491962147984,-0.0038104874439794933
224,1984-09-01,0,312.0,-0.33999999999999986,-0.10000000000000142,-0.2400000000000002,-0.15000000000000036,-0.20000000000000107,0.09422298213440389,0.0,-0.5800000000000125,-0.09939999999999571,-0.20000000000000018,-0.09999999999999964,0.0799999999999983,0.04323333333334034,0.0333333333333341,-0.0007703483121948018,-0.04583579355346645,-0.00528144547173337
225,1984-10-01,0,285.0,-1.3100000000000005,-0.629999999999999,-0.6799999999999997,-0.46999999999999886,-0.35999999999999943,-0.1927546138072459,1.5896100000000004,-0.009999999999990905,-0.0923000000000016,0.10000000000000053,0.2699999999999996,-0.41333333333333044,-0.0461000000000098,-0.0333333333333341,-0.00029368594296785844,0.16425775368864803,-0.004785797064750352
226,1984-11-01,0,353.0,-0.5600000000000005,-1.1300000000000008,-1.08,-0.7300000000000004,-0.5899999999999999,-0.285714285714287,0.0,-2.509999999999991,0.220799999999997,-0.20000000000000018,0.5400000000000009,-0.7366666666666681,0.009700000000002262,-0.09999999999999964,0.001134844953008196,0.5686419753086426,0.002984304297598661
227,1984-12-01,0,125.0,-1.049999999999999,-0.5499999999999989,-0.4900000000000002,-0.2599999999999998,-0.07000000000000028,0.0,0.0,3.6599999999999966,0.06289999999999907,0.09999999999999964,0.47999999999999865,-0.9733333333333327,0.06380000000000763,0.0,-0.001994031605622837,0.2844444444444434,0.0028971581152412718
228,1985-01-01,0,265.0,-0.030000000000001137,-0.3000000000000007,-0.3100000000000005,-0.14000000000000057,-0.11999999999999922,0.189933523266857,0.3557399999999973,12.389999999999986,-0.08979999999999677,0.0,0.1800000000000015,-0.5466666666666669,0.0646333333333331,-0.033333333333333215,-0.00023299147032451728,-0.10413223140495775,5.0320991647145874e-05
